,thiolutin,benomyl(1),37C,16C(2),bleomycin,high pH(1),benomyl,rapamycin(1),23C(1),high pH,bleomycin(1),low pH,16C,4-nitroquinoline-N-oxide,20C,hydroxyurea,fluconazole,4NQO-0.6(1),rapamycin,DMSO(1),low glucose,4NQO-0.4(1),high salt,23C(2),4NQO-0.6(2),glycerol,cycloheximide,high pH(2),thiolutin(1),bleomycin(2),DMSO(2),23C,16C(1),benomyl(2),H2O,raffinose,DMSO,rapamycin(2)
148,5.64327962117,6.94926399823,8.73151704192,13.1221595123,,7.79411543186,4.15255351207,,2.72433926058,6.4434013841,,5.34297152377,3.74399723565,9.33351096345,3.82489799145,10.5575811359,2.15333935493,6.87571079393,3.20070029908,9.84328603991,1.70568680971,11.2908440571,0.648498200353,5.82439546917,5.84890436615,1.37329266452,14.9798935655,,13.5154331337,4.56871297035,7.84660627523,6.45181614992,14.0930061756,3.64112660496,6.86000480201,3.14552795479,9.70922855142,
170,,3.43529966233,13.1175253868,,,,2.912184426,,1.496343037,,,,,,0.844425042273,,1.4227670254,,0.41735047884,9.08008696285,,,0.764279094508,13.6727537752,,,,,,5.69854189564,8.86293378314,4.34740016029,,5.04983041177,4.87356971379,,4.74853882038,
177,,2.18897990856,,3.53237661146,,7.39910937398,,8.19279074909,15.2991508443,2.78865552112,,5.36061074299,8.65012112774,,2.36186138187,4.69747042839,2.21297860975,9.65121677748,1.88514287262,9.13048877087,0.728763766766,2.94289911311,,7.11283749038,2.01357966238,0.253469254216,3.77698547135,0.264634215818,9.94606223007,13.2618228198,8.08496915754,7.65053178442,3.38835067393,15.084466136,5.95445404671,1.37248915269,8.0621865308,5.1839843071
A1,2.3831788926,,5.19213974687,5.45973651595,,3.27899567267,,,5.78318762623,,,2.28059656049,,,3.86448592132,2.40319779734,6.37542682913,4.5996530279,,4.66895174998,3.44624539953,1.35180074595,8.23970498421,5.6629479473,7.78417619285,6.57786067976,1.72198944393,,4.28842096974,3.99782727372,2.37496859475,4.46626846661,3.66158119906,,0.142995467578,1.37253053483,4.68718880196,
A10,,,,3.19533014006,,2.54278680993,,,0.530259611574,4.29501478701,,4.38866563852,0.419432500577,,8.97828763887,10.5465586478,1.39723232563,,,4.17867888175,4.60437433494,,,4.71999284626,,6.53625258024,,6.7562935823,,,3.93515417685,7.50628171026,0.898119108026,,4.04581319861,1.96317501241,7.76382425255,
A11,,6.58765225795,3.06009705341,6.12855476254,,6.38062872553,,0.346878636474,16.01806597,6.28030144295,1.55111979776,5.30047087609,5.41351916878,,5.92507748451,,5.07756049637,,2.57613709489,7.52618961623,1.36371861819,,5.49579312482,6.47601957907,,5.92753937236,7.24876427105,10.1120167046,,5.70081535771,5.66987829293,7.85432008466,8.33103909875,1.18753206872,5.29297550503,5.53957067307,8.15370551972,0.0105025839422
A12,,,,2.06267985563,,2.77519579336,,0.48639975881,8.19598530292,,,4.75131598489,6.10918066334,,4.64930973803,5.89496446966,5.75561691564,,8.02775436613,5.67237255356,1.54258471763,,,3.2880917343,,6.79355549225,0.417045643226,9.17573475455,,,5.31133330964,3.28860944015,2.08784709219,,3.6882733411,2.9093566857,6.23384172863,
A13,,,4.95431120404,5.82042748202,12.5544504917,7.79458978753,,1.06882219256,1.63954954853,,,2.79862375351,,,7.58814509199,5.28680789858,9.63362554019,,1.15023073348,5.20463047838,4.54731228183,11.0414377188,10.587952023,2.42107084721,1.25640606386,,,0.574073094952,15.6272299142,3.83216049934,4.07308977589,4.83480902879,,6.73618270611,5.34492549505,4.54257243694,9.49837425571,
A14,,1.28099663431,8.59613025931,3.38010827282,,9.69726717791,,0.247841182396,10.8702234076,0.518865897995,,5.52881428752,4.31973909859,,0.717443009677,,2.1658372865,,2.31608384966,6.43201641277,11.248582065,9.9351306066,5.83130794343,7.43362854952,,,5.53869703684,0.074889839234,,10.9284829733,5.47489166349,2.41415129379,1.64778200622,2.43182266889,3.26007791826,0.231598291595,4.27820011348,
A15,,3.52480882709,,8.48454247734,,5.70385614593,,,4.89594420777,,,13.5731689271,,,9.36939558703,7.33425131583,,,0.289332928441,2.78217014713,0.26822203786,,9.04096358592,2.46812676271,,,3.23705153528,17.2761255997,4.01538711461,10.5282745072,1.49267190143,7.88330876647,,,8.57194992176,1.19915248115,9.68436257081,
A16,3.22583976223,,9.13243884155,9.64587852003,,8.17874094842,,,8.39595292553,,,1.12887177394,,5.60271605963,8.47925153354,4.74277209361,2.50721169889,0.355471089512,,4.2233214451,,1.56233557637,2.74332748842,1.81758190819,1.91338333274,,6.83230001401,1.29268777834,7.57044900401,6.69085650651,2.12305208082,3.48226655406,11.4345840898,8.6803496551,2.98424876185,11.5909088555,4.45617919683,
A17,,6.08630468399,8.25421962759,,1.38583433605,10.777655597,7.91091445024,,7.54735262961,4.99078948137,15.9680402733,,0.71923331219,,7.22927278234,4.47178399376,,,0.587571284701,3.95031400451,2.92925464075,,1.35522056997,3.34226249441,,1.46121292977,5.66041448892,,,3.89252640585,3.99450176268,2.04397880903,2.34112790619,2.6111510799,1.78880746815,4.24035692513,4.67701421205,1.08604802366
A18,1.19264645599,,9.43035166791,3.78891471853,,0.71641267124,,,2.80249036988,,,2.27770375418,2.18160116837,,3.08439370901,3.38425966718,2.05303964439,,0.491321046729,5.38964704221,1.71879507176,7.31682156605,,4.60864493463,,1.12627166866,,4.30534434914,5.31586940405,,3.2777116055,5.97177071976,2.44245278694,,2.59477320381,3.70683565521,6.17388716778,
A19,5.14041827409,,,2.30018190171,,9.53380989228,,,2.99043405664,6.82863846266,,4.03120205762,,,2.16319348924,0.859767576696,1.5190310395,9.24613322486,1.06004112856,2.88412610099,3.28889366502,3.55504197953,4.51824667672,2.79796401882,2.76953982644,4.64011147862,4.79645028988,7.13067419014,2.15905028704,9.65250230475,1.53202632966,1.00875820251,10.6294595839,,1.13431944478,1.56199139752,2.38751429393,
