,thiolutin,benomyl(1),37C,16C(2),bleomycin,high pH(1),benomyl,rapamycin(1),23C(1),high pH,bleomycin(1),low pH,16C,4-nitroquinoline-N-oxide,20C,hydroxyurea,fluconazole,4NQO-0.6(1),rapamycin,DMSO(1),low glucose,4NQO-0.4(1),high salt,23C(2),4NQO-0.6(2),glycerol,cycloheximide,high pH(2),thiolutin(1),bleomycin(2),DMSO(2),23C,16C(1),benomyl(2),H2O,raffinose,DMSO,rapamycin(2)
148,32.4539563727,38.4404702941,32.9928833823,32.3548438337,,27.9246784653,17.8934816747,,32.2689838674,38.5681035394,,38.3041611557,36.2274849217,57.5236895513,44.1849662266,32.1602492117,32.2649512501,55.3985151864,7.66048837613,37.4453083683,13.1461886319,52.3706539269,17.9763661596,41.7215946458,61.836870984,8.55078770452,33.7100238947,,34.2811395023,53.8636845411,37.9266375106,41.0416367454,33.1414685855,52.2514430245,38.9598347239,17.376977805,41.5693818455,
170,,52.1118935258,41.2612926155,,,,13.579201395,,29.8815837536,,,,,,16.4661360493,,10.3559927497,,4.33518036574,40.529213963,,,8.01835536243,35.9256334839,,,,,,53.6072843544,40.1278621139,33.6101697727,,54.2862088213,33.8738661295,,41.8633091595,
177,,25.1674011099,,12.8065473515,,47.4944710038,,29.2367228266,38.1482199574,26.324167583,,14.4863234777,21.6839919747,,30.1738382245,41.227979683,26.1143182942,28.3080875383,41.6008958569,36.0241957104,14.4476333371,43.4122644632,,35.9288295632,41.9278708414,8.98302390701,45.9221142753,33.7360278551,33.08364012,48.3343384254,34.7014142579,34.2105115232,16.195235882,38.3142165473,34.0826736398,19.1509119147,35.2349369944,39.6810405889
A1,44.7170726643,,54.5847495617,22.0262158034,,32.8429478012,,,59.3302345676,,,50.9081953443,,,36.0205188539,46.9925456053,28.1621824132,34.1388853121,,59.0615284465,15.1974964661,61.2946346281,29.8679000394,53.3762965548,52.7647991189,22.2623032103,53.9215276699,,54.1426723738,17.7718268055,53.7032300559,53.7175419533,23.0163278423,,52.5009075438,12.4418868174,56.7816166258,
A10,,,,53.6029880253,,61.2129317564,,,56.2949096645,31.1504557426,,42.8873939489,57.6478170852,,43.6275838579,30.8700852863,6.6321691525,,,59.8898483373,24.2996090831,,,53.6036805462,,21.5788963949,,38.080711681,,,53.5987770916,54.4053315237,55.6365217282,,57.0308234554,32.540840863,56.8421154479,
A11,,41.5283436469,51.1657280843,53.9920057212,,36.0736258901,,3.23235774018,60.0441106963,21.9281156131,4.57343030578,41.2157348872,52.4905619991,,47.854572909,,29.6254108631,,5.48129870984,60.3990248024,20.2319123959,,18.854424004,53.5522697865,,20.2720357014,57.2243043283,34.0657650555,,54.9707963806,55.6400607016,49.1859565658,55.8502765379,39.1648931472,51.3180301065,33.3151650871,55.379199329,3.68064341413
A12,,,,48.7457076693,,55.7644108555,,11.0659663643,50.6897975106,,,35.6415673511,50.287772158,,41.6531986818,27.4196550507,12.3124959879,,23.7977482647,52.4500536789,14.0718702227,,,46.706318736,,20.9675426224,2.43898839716,42.4084273583,,,46.4386214435,43.7200992277,50.1974959576,,48.4272418023,32.2136146876,46.6396226819,
A13,,,34.9457466301,12.0027558037,34.5362857866,56.19359133,,2.19256914773,53.9761159611,,,8.34568564693,,,27.3488898593,38.7452831715,21.9788665004,,9.0527792449,54.6009976235,25.321052523,43.477410358,22.1081657346,53.3494343035,60.6336889174,,,38.6564354011,38.5790269938,60.7157357825,50.2522195293,52.8094616325,,47.0280832735,53.7831597747,39.1257198828,51.1337233061,
A14,,4.28789602158,55.2699119275,50.8494568137,,55.5897908825,,2.55433142341,59.1511264678,37.0872488472,,31.968108912,48.4395248606,,47.492615728,,24.9017066008,,7.43246888316,58.5820423427,31.1300391776,44.132433843,18.0357304585,50.8489111952,,,48.744472773,36.0576384179,,37.3430865117,52.7599550838,55.4326484573,51.6364402438,5.0547543338,59.0083459514,44.960614734,57.3972142899,
A15,,33.9860872569,,20.3870177569,,43.6866307664,,,48.4007608772,,,30.2170709567,,,34.4369250856,37.3328271891,,,8.34505484091,50.3743046562,20.5037822913,,18.7159516608,44.63942053,,,9.15739293045,37.2178767298,36.0358499312,53.277899012,44.699553627,47.4342285332,,,53.7227149793,40.2341957805,50.1376071243,
A16,41.6143139408,,56.9058220167,27.9842997662,,28.4681578258,,,60.550165247,,,46.4710049802,,65.9122719782,38.0790064004,37.8179241043,27.4965062174,65.6833166244,,59.8701180009,,68.6819785522,22.5157455572,54.8930352868,69.7622803501,,37.0145253663,3.85108915868,53.030380023,47.408116121,56.3256049912,55.8046526846,24.2512132534,33.7038719373,57.3948005139,29.18571676,58.7048020231,
A17,,57.1027189175,39.9322129856,,55.1098324736,48.0622108185,29.6397591343,,53.1042767336,17.0763448708,42.1708854048,,2.51953972396,,22.1256361251,24.2077181897,,,11.4208654778,53.5005424776,17.5895767713,,26.1505945698,50.8074695552,,12.8123021848,16.8601457045,,,63.6622205818,50.3925657808,52.9346765237,5.82624112209,62.0843578884,51.9497166275,40.6433366741,53.8128886244,7.66519826017
A18,8.53379581104,,40.4584846469,14.7426707923,,26.5817683268,,,40.9426318466,,,29.6040734274,6.10344708828,,24.2441879903,25.6383890025,20.7099824377,,2.35354479811,46.1735547074,11.8389862636,53.0485099292,,36.1198298322,,15.0424870333,,9.28327471843,33.6204500762,,44.2038665329,35.8192515996,13.4106472206,,38.6332458147,14.8981523035,44.558258806,
A19,26.8479060318,,,37.9025655293,,41.0414616895,,,50.7194335441,23.2706589429,,28.6132062512,,,40.1306601649,33.2890771668,12.3223362278,37.7454191274,10.0196493269,52.6179858237,22.6081425805,54.3194086199,10.223862042,45.4772726408,47.9491877018,19.4995346507,28.2322786167,14.7559103615,49.1010999688,55.5993887924,48.5249600405,47.2208070638,34.8744834397,,52.5359135104,37.1464917034,50.4482560745,
A2,,60.3721970843,24.2748690236,,38.5849358951,55.8350174286,3.41462834846,20.8294914731,57.4288982846,42.2937995675,,20.4880819864,2.16726551675,,46.2120342926,28.7054433709,,,46.4014076705,56.6949764901,18.6064078534,,24.411172263,50.0923078527,,14.2515995726,35.7174300628,50.1230112142,42.9253117257,60.1523563858,51.67498259,53.9119526564,,58.2271546716,54.5609872636,34.6194186992,53.4551167322,20.2177282215
A20,36.2351232561,,41.0554425211,56.6304921414,,57.4363847099,,,53.4698195751,51.5860790897,,43.3491495834,64.0151814799,57.7646996574,52.7508030581,41.0995985513,31.6016678512,53.0511965775,6.10260407907,53.0195080559,33.3372687059,61.8511849689,24.9566074467,50.7884209939,60.4593697288,28.0257244743,42.585152758,44.212818405,49.537908433,,50.1820461485,50.9027771957,58.7271939036,,54.8856794239,42.995230877,51.167763833,
A21,31.3162178718,,27.360443677,42.9386414195,,49.4969016979,,,54.8538606632,39.2499048742,,20.3716897038,,40.0565084427,52.1254036034,,33.564965132,,6.3637053489,54.3901618248,26.5071341769,46.2843448574,27.8424900344,48.2188386681,,19.1373992265,42.7353337452,30.7360204244,50.5878988747,41.4304549759,48.072116791,53.3829565614,45.9539480281,,56.8606578095,39.9127895017,53.2682787753,2.66756408069
A22,,,,31.3161901405,,48.0776272725,,2.95880307863,48.7025291857,36.4751729843,,35.4359332495,,,42.376849611,,34.1670068378,,8.23479940163,51.1753843787,17.2635523003,,13.409701386,45.8191409022,,21.5831839492,42.9059204899,,38.4127772095,27.9773757811,46.0682134904,50.0090596578,30.7545635189,,52.0253488318,35.0996843725,51.7879739055,
A23,31.7699744739,,36.8994469824,44.9099502083,,58.2692170395,,,54.230363786,42.3958231776,,25.0342236496,46.4484800285,,45.5109623946,14.6887195882,9.38027875329,,,53.3318885752,29.1415552199,,21.8206390852,50.7327007868,,24.0816228406,46.319396367,40.4434188414,49.6151489989,,48.1509411894,52.4669612125,46.5081224279,,54.9904451013,42.4669891223,51.6556609715,
A24,25.8398258446,,41.5858085926,,,47.7201973441,,,53.552312508,9.15492887407,,,,46.6844869285,33.583046429,,2.80795567092,,12.6161406474,54.4182098782,22.1242217666,53.6330477426,15.8167295564,48.0592820483,,17.0467108491,15.5123939313,15.4371151408,46.2812574398,52.5750873217,49.4844163892,50.3399076022,,2.643017755,52.2482804898,39.0666418816,51.1838006094,5.60348966037
A25,32.1926203932,25.7133488821,44.1376191409,,,,,7.7829083448,53.403295323,,,,,43.2965402229,35.0188330081,15.8213318104,11.7786003408,,14.5785492835,54.8508285408,27.7565145303,55.4356949315,18.7950546802,49.288322615,,16.2308940563,18.674448119,16.1291514064,48.754613702,56.8593601964,49.6143417866,50.448022265,,33.4619256128,51.5602266099,38.6458317336,52.1746107854,7.61864671296
A26,35.2167043062,,27.8920516761,,,22.4784965522,,,51.0525203808,,,,,,18.7254953346,33.4010462172,15.5965728847,,,53.0665798929,15.9737886204,43.3299418449,18.7829385781,46.7783876467,,13.2426724849,40.4561116057,,47.4465834306,34.3995820834,48.3616513194,46.0232052645,,,44.2993018476,10.4817353738,49.8439353743,
A27,35.8248025184,,30.8662355333,,,27.9868528353,,,52.4169616289,,,,,,20.3300807183,37.4628675634,11.8510446487,,2.86250728334,50.1432194344,17.7004248352,,20.7757490629,47.2035484362,,15.1160990373,45.2386339285,,44.3749344627,13.8064968211,47.634612143,47.243457661,,,48.4024032017,30.0000614206,49.9788112097,
A28,28.6871576096,,,,,35.2110935535,,,49.1845056982,,,,,,13.1910648192,40.1412964823,,,,50.0898313848,20.082313054,,19.5647695395,46.9217121265,,14.0278460896,11.5791035313,,42.6322043069,32.7214662746,46.2500463712,46.0193677597,,,45.0237649407,37.1560867137,49.4789481789,
A29,30.7750255457,,23.0658609246,,,11.2406212183,,,53.5314125104,,,33.0020385347,,,,,,,,54.6598538373,12.8118763431,,,49.1282755131,,14.7549072872,30.4272411852,8.31756974395,44.3924081962,37.6428399243,50.7965871985,49.096399959,,,43.7291464725,,52.2313832608,
A3,,53.704716755,,20.0454282669,52.7993368063,67.9109744061,,,64.1400391594,44.775972492,,,,,46.6796448856,35.4759307389,,,23.3540290843,60.3843461282,19.3326458295,37.7334384941,28.9136459645,53.7643185073,,15.7535463999,41.4548323411,,,61.8165054994,53.9811029741,57.7320529586,18.853499365,53.7246895429,62.7097226284,41.1712455423,57.9984004047,17.3168366362
